DATE_STRIN,LATITUDE,LONGITUDE,PENUMBRAL,PARTIAL ECLIPSE,DURATION
0155/3/7,6N,30E,345.1,221.6,99.2
0155/8/30,10S,0E,327.8,211.2,87.7
0156/2/24,11N,50W,338.5,178.2,-
0156/8/18,14S,128E,301.9,186,-
0157/2/12,15N,48W,196.6,-,-
0157/7/10,21S,6E,156.5,-,-
0157/8/8,18S,120W,202.1,-,-
0158/1/2,22N,148E,286.7,103.4,-
0158/6/29,23S,146W,323.5,172.9,-
0158/12/23,24N,29W,324.1,210.4,92.6
0159/6/18,24S,168E,372.8,234.5,103.5
0159/12/12,24N,98E,302.8,183.5,-
0160/6/6,23S,156E,308.1,116.4,-
0160/12/1,23N,122W,214,-,-
0161/4/27,13S,143W,244.7,-,-
0161/10/22,10N,10W,292.1,47.7,-
0162/4/17,10S,10W,313.2,203.5,79.6
0162/10/11,6N,6W,371.9,225.1,79.7
0163/4/6,6S,96E,307.6,192.3,40.3
0163/9/30,3N,22W,349.7,208.1,38.6
0164/2/25,11N,70E,79.5,-,-
0164/3/26,3S,115W,213.3,-,-
0164/8/20,15S,13E,37.4,-,-
0164/9/18,1S,143W,237.9,-,-
0165/2/14,14N,21E,314.1,114.4,-
0165/8/9,17S,128E,269.8,128.5,-
0166/2/3,17N,28E,372.8,231,97.9
0166/7/30,19S,115W,327.4,215,98.4
0167/1/23,19N,21W,331.7,188.8,-
0167/7/19,21S,74E,316,166.1,-
0167/12/14,25N,14W,87.4,-,-
0168/1/12,21N,178W,209.4,-,-
0168/6/8,24S,129W,190.5,-,-
0168/7/8,22S,10E,125.2,-,-
0168/12/2,23N,110E,269.6,117.6,-
0169/5/28,22S,152W,337.9,188.7,-
0169/11/22,20N,92W,337,215.1,91.9
0170/5/17,19S,92E,336.2,216.4,91.2
0170/11/11,17N,161E,344.1,194.5,-
0171/5/7,15S,122W,253.3,82.1,-
0171/10/31,13N,153E,239.3,-,-
0172/3/27,3S,100E,267.2,108.6,-
0172/9/20,1S,31E,267.1,-,-
0173/3/17,2N,85W,345.4,220.9,96.2
0173/9/9,6S,121W,325.5,208.5,82.3
0174/3/6,7N,161W,343.3,186.6,-
0174/8/30,10S,7E,304.9,190.5,38.5
0175/2/23,11N,160W,209.8,-,-
0175/7/21,20S,105W,125.7,-,-
0175/8/19,15S,122E,215,-,-
0176/1/14,21N,23E,284.3,101,-
0176/7/9,22S,113E,316,155.3,-
0177/1/2,23N,160W,323.1,209.9,92.2
0177/6/28,24S,72E,374.2,235.9,106.5
0177/12/23,24N,35W,303,183.9,-
0178/6/17,24S,59E,319.8,146.3,-
0178/12/12,24N,108E,214.2,-,-
0179/5/8,16S,107E,229,-,-
0179/6/7,24S,34W,99.7,-,-
0179/11/2,14N,130W,290.5,23.6,-
0180/4/27,13S,125W,309.7,198.9,67.4
0180/10/21,11N,123W,371.1,223.4,75
0181/4/17,10S,20W,311.6,198.2,61.7
0181/10/10,7N,141W,350.3,210.2,50.7
0182/4/6,7S,132E,227.7,-,-
0182/9/29,3N,94E,243.8,-,-
0183/2/25,10N,91W,308,96.2,-
0183/8/21,14S,8E,263.3,113.3,-
0184/2/14,14N,86W,370.9,229.5,94.8
0184/8/9,16S,131E,327.8,213.8,94.9
0185/2/2,16N,142W,331.8,191.6,-
0185/7/30,19S,32W,324.5,178.9,-
0185/12/24,25N,145W,85.9,-,-
0186/1/22,19N,54E,212.4,-,-
0186/6/19,25S,136E,151.1,-,-
0186/7/19,20S,89W,167.2,-,-
0186/12/14,24N,22W,269.7,116.8,-
0187/6/8,23S,109E,328.3,173.2,-
0187/12/3,22N,139E,338.3,215.5,91.8
0188/5/28,21S,14W,336.6,218.8,98
0188/11/21,20N,37E,345.6,195.2,-
0189/5/17,18S,126E,263.7,111.9,-
0189/11/10,16N,34E,242.3,-,-
0190/4/8,8S,17W,259,84.7,-
0190/10/1,4N,88W,261.4,-,-
0191/3/28,3S,161E,345.1,219.3,91
0191/9/20,1S,116E,323.5,206,76.9
0192/3/16,2N,89E,348.3,195.3,-
0192/9/9,6S,117W,307.4,194,53.6
0193/3/5,7N,90E,224,-,-
0193/7/31,17S,144E,84.3,-,-
0193/8/30,11S,3E,225.8,-,-
0194/1/24,19N,102W,281.2,96.5,-
0194/7/21,20S,9E,307.7,134.1,-
0195/1/13,21N,70E,322,209.4,91.6
0195/7/10,23S,24W,374.4,235.6,105.5
0196/1/3,24N,166W,303.5,184.6,-
0196/6/28,24S,39W,329.4,167.8,-
0196/12/23,25N,22W,214.8,-,-
0197/5/19,18S,2W,210.9,-,-
0197/6/17,25S,139W,145.8,-,-
0197/11/12,17N,108E,289.5,-,-
0198/5/8,16S,121E,305.5,193,47.5
0198/11/1,14N,118E,370.3,221.9,71
0199/4/28,14S,135W,315.4,203.5,76.1
0199/10/21,11N,97E,350.4,211.4,57.5
0200/4/17,11S,21E,242.6,-,-
0200/10/10,7N,32W,247.9,-,-
0201/3/7,6N,159E,299.8,65.8,-
0201/8/31,10S,113W,257.3,96.9,-
0202/2/24,10N,161E,368.4,227.3,90.1
0202/8/21,13S,14E,327.9,212.1,90
0203/2/13,13N,97E,332.2,194.9,-
0203/8/10,16S,140W,331.9,189.3,-
0204/1/4,24N,84E,83.1,-,-
0204/2/3,16N,73W,216.1,-,-
0204/6/29,25S,40E,94,-,-
0204/7/29,18S,171E,198.3,-,-
0204/12/24,24N,154W,269.7,115.8,-
0205/6/19,24S,9E,317.7,154.3,-
0205/12/14,24N,10E,339.5,216,91.8
0206/6/8,23S,121W,336.1,219.8,101.3
0206/12/3,22N,86W,347,196,-
0207/5/29,21S,14E,272.9,133.4,-
0207/11/22,19N,86W,244.5,-,-
0208/4/18,12S,132W,248.8,40.8,-
0208/5/17,18S,115E,56.8,-,-
0208/10/11,8N,150E,256.8,-,-
0209/4/7,7S,50E,344.1,216.5,82.5
0209/10/1,3N,10W,321.6,203.8,72.1
0210/3/28,2S,17W,353.6,204.2,-
0210/9/20,2S,118E,309.2,196.5,62.4
0211/3/17,3N,18W,238.9,-,-
0211/9/10,7S,119W,234.5,-,-
0212/2/4,16N,135E,277,89.1,-
0212/7/31,18S,95W,298.7,107.3,-
0213/1/24,19N,59W,320.8,208.7,90.5
0213/7/20,21S,122W,373.7,233.6,100.8
0214/1/13,22N,63E,304.2,185.6,-
0214/7/9,23S,139W,337.2,184,-
0215/1/3,24N,150W,215.8,-,-
0215/5/30,20S,111W,190.2,-,-
0215/6/28,25S,116E,177.6,-,-
0215/11/24,20N,13W,289,-,-
0216/5/19,19S,8E,300.4,185.4,-
0216/11/12,18N,2W,369.6,220.9,68.1
0217/5/8,17S,112E,318.7,208,86.6
0217/11/1,15N,26W,350.1,212,61.7
0218/4/28,15S,89W,257,-,-
0218/10/21,12N,160W,250.6,-,-
0219/3/18,2N,51E,289.7,-,-
0219/9/11,6S,123E,251.7,78.9,-
0220/3/6,6N,51E,365.4,224.3,83
0220/8/31,9S,104W,327.8,210.1,84.2
0221/2/24,9N,21W,333,198.8,-
0221/8/20,12S,110E,338.2,197.4,-
0222/1/15,23N,47W,76,-,-
0222/2/13,12N,161E,221.3,-,-
0222/8/9,15S,69E,222.1,-,-
0223/1/4,24N,75E,269.1,113.7,-
0223/6/30,24S,91W,306.1,131.2,-
0223/12/25,24N,118W,340.6,216.4,91.6
0224/6/18,24S,132E,334.9,219.4,101.8
0224/12/13,23N,151E,348.1,196.6,-
0225/6/8,22S,97W,281.3,150.6,-
0225/12/2,21N,154E,246,-,-
0226/4/29,15S,114E,236.3,-,-
0226/5/29,20S,3E,109.4,-,-
0226/10/23,12N,26E,253.6,-,-
0227/4/19,11S,59W,342.3,212.3,68.8
0227/10/12,8N,138W,320,201.9,67.8
0228/4/7,6S,122W,358.7,212.5,36.3
0228/10/1,3N,10W,310.7,198.4,68.1
0229/3/27,1S,124W,254,-,-
0229/9/20,2S,118E,241.5,-,-
0230/2/15,12N,13E,271.9,77.9,-
0230/8/11,15S,159E,289.3,70.7,-
0231/2/4,16N,174E,319.4,207.8,88.8
0231/7/31,19S,138E,372.1,230.2,92.7
0232/1/25,20N,67W,305.2,187.3,11
0232/7/19,22S,120E,343.3,196.2,-
0233/1/13,23N,82E,217.8,-,-
0233/6/9,22S,140E,166.2,-,-
0233/7/9,24S,9E,201.6,-,-
0233/12/4,22N,135W,288.4,-,-
0234/5/30,21S,104W,294.6,176.1,-
0234/11/23,20N,122W,369,220.1,66.2
0235/5/20,20S,1E,321.6,211.6,94
0235/11/12,18N,151W,349.4,212.2,64.2
0236/5/8,18S,164E,271.1,66.9,-
0236/10/31,15N,71E,252.2,-,-
0237/3/29,2S,54W,276.6,-,-
0237/9/22,2S,3W,247,59.5,-
0238/3/18,1N,58W,361.6,220.1,72.1
0238/9/11,5S,136E,327.8,208,77.5
0239/3/7,5N,138W,333.9,202.9,42.5
0239/9/1,9S,1W,343.6,203.9,15.1
0240/1/26,20N,176W,64.4,-,-
0240/2/25,9N,37E,227.4,-,-
0240/8/20,12S,35W,241.4,-,-
0241/1/15,22N,55W,268.1,110.5,-
0241/7/10,23S,167E,293.7,102,-
0242/1/4,23N,115E,341.6,216.8,91.2
0242/6/30,24S,24E,333,217.9,99.6
0242/12/25,23N,29E,349.4,197.6,-
0243/6/19,23S,151E,288.6,164.4,-
0243/12/13,22N,34E,247.5,-,-
0244/5/10,19S,3E,221.3,-,-
0244/6/8,22S,108W,143.4,-,-
0244/11/2,16N,100W,251.3,-,-
0245/4/29,15S,165W,339.5,206.1,43.3
0245/10/22,12N,93E,318.7,200.5,64.8
0246/4/18,10S,136E,363.4,220,66.6
0246/10/12,7N,139W,311.9,199.7,71.9
0247/4/7,6S,132E,269,-,-
0247/10/2,2N,7W,247,-,-
