DATE_STRIN,ECLIPSE_TYPE,MAGNITUD,LATITUDE,LONGITUDE,DURATION,EVENT
1988/10/3,A,0.9582,7.8N,32.0E,04m25s,solar_eclipse
1989/3/30,H,1.0071,35.0N,91.8W,00m36s,solar_eclipse
1989/9/22,H2,1.0146,25.2S,119.9W,01m15s,solar_eclipse
1990/2/18,P,0.0803,61.4S,171.5W,,solar_eclipse
1990/3/20,P,0.2774,60.8N,101.9E,,solar_eclipse
1990/8/14,P,0.2521,62.0N,77.1W,,solar_eclipse
1990/9/12,P,0.6879,60.9S,45.1W,,solar_eclipse
1991/2/7,A,0.9288,61.9S,125.2E,05m42s,solar_eclipse
1991/8/3,T,1.0347,58.9N,45.5W,02m21s,solar_eclipse
1992/1/27,A,0.9772,23.4S,24.0E,02m22s,solar_eclipse
1992/7/23,A,0.9868,19.0N,124.4E,01m26s,solar_eclipse
1993/1/16,T,1.025,15.7N,155.0W,02m25s,solar_eclipse
1993/7/12,A,0.9437,31.2S,58.8E,06m41s,solar_eclipse
1993/12/7,P,0.2352,67.2S,37.3W,,solar_eclipse
1994/1/5,P,0.5046,64.4N,44.3W,,solar_eclipse
1994/6/1,P,0.5428,67.8N,95.1E,,solar_eclipse
1994/7/1,Pb,0.007,65.1S,42.5E,,solar_eclipse
1994/11/26,A,0.9855,72.8S,71.4W,01m01s,solar_eclipse
1995/5/22,T,1.0277,45.0N,134.3E,02m22s,solar_eclipse
1995/11/16,A,0.9396,24.8S,154.9W,07m23s,solar_eclipse
1996/5/10,T,1.0723,2.3S,79.8W,06m47s,solar_eclipse
1996/11/4,A,0.9159,19.8N,146.7W,11m18s,solar_eclipse
1997/4/1,Pe,0.1036,71.7N,35.7E,,solar_eclipse
1997/4/30,P,0.8818,70.4S,63.1E,,solar_eclipse
1997/10/24,P,0.5427,71.0N,103.0W,,solar_eclipse
1998/3/21,A,0.985,49.6N,62.4W,01m16s,solar_eclipse
1998/9/13,T,1.0253,52.3S,110.3W,01m53s,solar_eclipse
1999/3/10,A,0.9437,0.8S,108.0W,07m12s,solar_eclipse
1999/9/3,T,1.0645,0.3N,37.3E,05m50s,solar_eclipse
0100/2/27,A,0.9316,47.8S,88.1W,06m52s,solar_eclipse
0100/8/23,T,1.0421,45.8N,170.6E,03m17s,solar_eclipse
0101/1/17,P,0.1101,68.2N,46.7E,,solar_eclipse
0101/2/16,P,0.3853,70.7S,12.8W,,solar_eclipse
0101/7/14,P,0.2753,67.5S,160.1E,,solar_eclipse
0101/8/12,P,0.3372,70.0N,121.4E,,solar_eclipse
0102/1/6,T,1.0323,25.9N,129.5W,03m00s,solar_eclipse
0102/7/3,A,0.9439,18.9S,136.3E,07m33s,solar_eclipse
0102/12/27,T,1.0454,19.4S,5.3W,04m15s,solar_eclipse
0103/6/22,A,0.9654,29.4N,117.6E,04m02s,solar_eclipse
0103/12/17,H,1.0019,61.5S,131.0E,00m09s,solar_eclipse
0104/6/10,H2,1.0087,77.6N,34.9W,00m33s,solar_eclipse
0104/12/5,P,0.3318,64.2S,131.3W,,solar_eclipse
0105/5/1,T,1.0643,50.7S,49.6W,04m21s,solar_eclipse
0105/10/25,A,0.9114,53.0N,25.8W,08m04s,solar_eclipse
0106/4/21,T,1.0623,0.7S,23.5E,05m22s,solar_eclipse
0106/10/14,A,0.9583,4.7N,88.9W,04m29s,solar_eclipse
0107/4/11,H,1.0069,35.8N,158.6E,00m35s,solar_eclipse
0107/10/4,H2,1.0149,28.1S,115.6E,01m15s,solar_eclipse
0108/2/29,Pe,0.0082,61.1S,69.3E,,solar_eclipse
0108/3/30,P,0.3738,60.8N,13.2W,,solar_eclipse
